seed,model,after_task,task_id,task_name,acc,route_entropy,route_dominance
2,Mutualistic09_route_plus_latent,3,1,2 vs 3,0.9675,0.30316600017249584,0.9091689847409725
2,Mutualistic09_route_plus_latent,3,2,4 vs 5,0.9995,1.3897630225301327e-05,0.999998964369297
2,Mutualistic09_route_plus_latent,3,3,6 vs 7,1.0,8.545069749743561e-05,0.9999926947057247
2,Mutualistic09_route_plus_latent,4,0,0 vs 1,0.9915,0.3892942350357771,0.8785941116511822
2,Mutualistic09_route_plus_latent,4,1,2 vs 3,0.9685,0.4082045126706362,0.8688649497926235
2,Mutualistic09_route_plus_latent,4,2,4 vs 5,0.9995,0.0006521277846331941,0.9999099262058735
2,Mutualistic09_route_plus_latent,4,3,6 vs 7,1.0,0.0014530684420606121,0.9996697939932346
2,Mutualistic09_route_plus_latent,4,4,8 vs 9,0.997,0.06203008512966335,0.9757646545767784
2,Mutualistic09_full_functional_memory,0,0,0 vs 1,0.9895,0.05756090604700148,0.9865384325385094
2,Mutualistic09_full_functional_memory,1,0,0 vs 1,0.9895,0.05227673286572099,0.9884613677859306
2,Mutualistic09_full_functional_memory,1,1,2 vs 3,0.9655,0.12885280326008797,0.9515333920717239
2,Mutualistic09_full_functional_memory,2,0,0 vs 1,0.989,0.0798357529565692,0.9827128387987614
2,Mutualistic09_full_functional_memory,2,1,2 vs 3,0.9725,0.3116725403815508,0.8727557025849819
2,Mutualistic09_full_functional_memory,2,2,4 vs 5,1.0,0.004542940019746311,0.999129381030798
2,Mutualistic09_full_functional_memory,3,0,0 vs 1,0.989,0.1457067970186472,0.9627365283668041
2,Mutualistic09_full_functional_memory,3,1,2 vs 3,0.9725,0.46807979233562946,0.8024121224880219
2,Mutualistic09_full_functional_memory,3,2,4 vs 5,1.0,0.0884773270227015,0.9777102209627628
2,Mutualistic09_full_functional_memory,3,3,6 vs 7,1.0,0.001759938611940015,0.9997587576508522
2,Mutualistic09_full_functional_memory,4,0,0 vs 1,0.989,0.11857450241222978,0.9723871126770973
2,Mutualistic09_full_functional_memory,4,1,2 vs 3,0.972,0.5356966257095337,0.7728327438235283
2,Mutualistic09_full_functional_memory,4,2,4 vs 5,1.0,0.09616645658388734,0.9766828268766403
2,Mutualistic09_full_functional_memory,4,3,6 vs 7,0.9995,0.00992780167143792,0.9981407299637794
2,Mutualistic09_full_functional_memory,4,4,8 vs 9,0.9975,0.0018999280073330738,0.9997232854366302
3,Mutualistic09_distill_only,0,0,0 vs 1,0.985,0.10257098637521267,0.9687848575413227
3,Mutualistic09_distill_only,1,0,0 vs 1,0.9875,0.08665242255665362,0.9743122756481171
3,Mutualistic09_distill_only,1,1,2 vs 3,0.971,0.12574320985004306,0.9588191695511341
3,Mutualistic09_distill_only,2,0,0 vs 1,0.987,0.07544266642071307,0.9769643284380436
3,Mutualistic09_distill_only,2,1,2 vs 3,0.9715,0.10752182407304645,0.9637031182646751
3,Mutualistic09_distill_only,2,2,4 vs 5,1.0,0.030525995302014053,0.9885864295065403
3,Mutualistic09_distill_only,3,0,0 vs 1,0.9865,0.07114386092871428,0.9780164398252964
3,Mutualistic09_distill_only,3,1,2 vs 3,0.9725,0.10442032059654593,0.9635387025773525
3,Mutualistic09_distill_only,3,2,4 vs 5,1.0,0.02695650194073096,0.9896318055689335
3,Mutualistic09_distill_only,3,3,6 vs 7,1.0,0.002026685393502703,0.9995415210723877
3,Mutualistic09_distill_only,4,0,0 vs 1,0.987,0.07081243488937616,0.9782831035554409
3,Mutualistic09_distill_only,4,1,2 vs 3,0.9735,0.10203436203300953,0.9642275013029575
3,Mutualistic09_distill_only,4,2,4 vs 5,0.9995,0.028068507032003254,0.9895959869027138
3,Mutualistic09_distill_only,4,3,6 vs 7,1.0,0.007061910015181638,0.9979709051549435
3,Mutualistic09_distill_only,4,4,8 vs 9,0.998,0.004322566972405184,0.9988564886152744
3,Mutualistic09_route_memory_only,0,0,0 vs 1,0.985,0.10257098637521267,0.9687848575413227
3,Mutualistic09_route_memory_only,1,0,0 vs 1,0.9205,0.07275365269742906,0.9778875820338726
3,Mutualistic09_route_memory_only,1,1,2 vs 3,0.971,0.10237183282151818,0.9669839814305305
3,Mutualistic09_route_memory_only,2,0,0 vs 1,0.61,0.06880939099937677,0.9770631864666939
3,Mutualistic09_route_memory_only,2,1,2 vs 3,0.7375,0.08441985072568059,0.9715490266680717
3,Mutualistic09_route_memory_only,2,2,4 vs 5,1.0,0.020843621852691285,0.9925331808626652
3,Mutualistic09_route_memory_only,3,0,0 vs 1,0.547,0.07051948178559542,0.9768122844398022
3,Mutualistic09_route_memory_only,3,1,2 vs 3,0.5,0.08676482178270817,0.9708644412457943
3,Mutualistic09_route_memory_only,3,2,4 vs 5,0.995,0.018829609965905547,0.9925910048186779
3,Mutualistic09_route_memory_only,3,3,6 vs 7,0.9995,0.01053895166478469,0.996050238609314
3,Mutualistic09_route_memory_only,4,0,0 vs 1,0.4995,0.07100639515556395,0.9773773923516273
3,Mutualistic09_route_memory_only,4,1,2 vs 3,0.6835,0.10489317402243614,0.9645958207547665
3,Mutualistic09_route_memory_only,4,2,4 vs 5,0.8995,0.021061974053736776,0.9927561990916729
3,Mutualistic09_route_memory_only,4,3,6 vs 7,0.796,0.018997870094608516,0.9936355240643024
3,Mutualistic09_route_memory_only,4,4,8 vs 9,0.998,0.005181628170248587,0.9983547665178776
3,Mutualistic09_latent_only,0,0,0 vs 1,0.985,0.10257098637521267,0.9687848575413227
3,Mutualistic09_latent_only,1,0,0 vs 1,0.9855,0.14653484802693129,0.9474423341453075
3,Mutualistic09_latent_only,1,1,2 vs 3,0.97,0.10996633023023605,0.964620016515255
3,Mutualistic09_latent_only,2,0,0 vs 1,0.9865,0.17692036554217339,0.9397104941308498
3,Mutualistic09_latent_only,2,1,2 vs 3,0.971,0.43971703574061394,0.7859762385487556
3,Mutualistic09_latent_only,2,2,4 vs 5,1.0,0.006342755339574069,0.998950969427824
3,Mutualistic09_latent_only,3,0,0 vs 1,0.987,0.46268648467957973,0.8065463155508041
