seed,model,task_id,task_name,best_acc,final_acc,per_task_forgetting
9,Mutualistic09_distill_only,1,2 vs 3,0.974,0.972,0.0020000000000000018
9,Mutualistic09_distill_only,2,4 vs 5,1.0,1.0,0.0
9,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
9,Mutualistic09_distill_only,4,8 vs 9,0.998,0.998,0.0
9,Mutualistic09_full_functional_memory,0,0 vs 1,0.984,0.984,0.0
9,Mutualistic09_full_functional_memory,1,2 vs 3,0.9745,0.9745,0.0
9,Mutualistic09_full_functional_memory,2,4 vs 5,1.0,0.9995,0.0004999999999999449
9,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,1.0,0.0
9,Mutualistic09_full_functional_memory,4,8 vs 9,0.997,0.997,0.0
9,Mutualistic09_latent_only,0,0 vs 1,0.9885,0.9865,0.0020000000000000018
9,Mutualistic09_latent_only,1,2 vs 3,0.9735,0.9715,0.0020000000000000018
9,Mutualistic09_latent_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
9,Mutualistic09_latent_only,3,6 vs 7,1.0,1.0,0.0
9,Mutualistic09_latent_only,4,8 vs 9,0.998,0.998,0.0
9,Mutualistic09_route_memory_only,0,0 vs 1,0.9875,0.504,0.48350000000000004
9,Mutualistic09_route_memory_only,1,2 vs 3,0.9695,0.5085,0.4610000000000001
9,Mutualistic09_route_memory_only,2,4 vs 5,0.9995,0.971,0.02850000000000008
9,Mutualistic09_route_memory_only,3,6 vs 7,1.0,0.9325,0.0675
9,Mutualistic09_route_memory_only,4,8 vs 9,0.998,0.998,0.0
9,Mutualistic09_route_plus_latent,0,0 vs 1,0.988,0.984,0.0040000000000000036
9,Mutualistic09_route_plus_latent,1,2 vs 3,0.974,0.9705,0.0034999999999999476
9,Mutualistic09_route_plus_latent,2,4 vs 5,1.0,1.0,0.0
9,Mutualistic09_route_plus_latent,3,6 vs 7,1.0,1.0,0.0
9,Mutualistic09_route_plus_latent,4,8 vs 9,0.9965,0.9965,0.0
