seed,model,task_id,task_name,epoch,lambda_route_memory,lambda_distill,lambda_latent,lambda_entropy,task_loss,entropy,dominance,mutualism_violation,gain_mean,gain_min,route_memory_loss,distill_loss,latent_loss,alpha,total_loss
8,Mutualistic09_distill_only,0,0 vs 1,14,0.0,1.0,0.0,0.005,0.007106190667477774,0.10291068644282665,0.9709462358596477,0.00010569312122784817,0.062153862383058096,-0.00027189735556021333,0.0,0.0,0.0,1.0,0.011771928578456665
8,Mutualistic09_distill_only,1,2 vs 3,0,0.0,1.0,0.0,0.005,0.1893905707971847,0.1874846908006262,0.9330460264327678,0.0009483392891283113,0.047161294771556526,-0.004252622736261246,0.0007765527014010118,0.03810403518133519,0.45352414788361245,0.0,0.24937040533157104
8,Mutualistic09_distill_only,1,2 vs 3,2,0.0,1.0,0.0,0.005,0.07391266350416427,0.14255290002898968,0.9524942750626422,0.00031087384453751433,0.045016994298574455,-0.0013526394329172499,0.0008233403198070672,0.011286155622888436,0.20696283401326931,0.0,0.09838987030881516
8,Mutualistic09_distill_only,1,2 vs 3,3,0.0,1.0,0.0,0.005,0.0660137810367853,0.1755694715266532,0.938128780811391,0.00022128369208201817,0.0675974447265307,-0.000991625632060335,0.0009061742346293226,0.008895640296148175,0.20750294911100509,0.5,0.08700192212424379
8,Mutualistic09_distill_only,1,2 vs 3,14,0.0,1.0,0.0,0.005,0.021401151311286587,0.10354033968550094,0.9666607126276544,0.0001784822108742872,0.046776037692944424,-0.0008016602492871437,0.0008356382879278402,0.003341155713721317,0.11966353353667766,1.0,0.03112038944233605
8,Mutualistic09_distill_only,2,4 vs 5,0,0.0,1.0,0.0,0.005,0.11896499438567999,0.5090840281324184,0.8221845411239787,0.0013039560589606209,0.5335331337645333,-0.0046809100288342925,0.0007321145419561443,0.018858418672839723,0.1486753620073556,0.0,0.16994606798633616
8,Mutualistic09_distill_only,2,4 vs 5,2,0.0,1.0,0.0,0.005,0.005431915464949735,0.1965044692475745,0.9474867823276114,4.480511786320502e-05,0.9486233668124422,-0.00018319584667048555,0.0007384068307765893,0.0019498333567753434,0.1697598581618451,0.0,0.021742415198303285
8,Mutualistic09_distill_only,2,4 vs 5,3,0.0,1.0,0.0,0.005,0.00399778039749474,0.13275019602572663,0.9666012779195258,2.534099241452071e-05,0.8727767606999012,-0.00010475880426770829,0.0008432506028645761,0.0013363851330916775,0.16238088810697515,0.5,0.017119581811130047
8,Mutualistic09_distill_only,2,4 vs 5,14,0.0,1.0,0.0,0.005,0.001107409034181941,0.016461999452811606,0.9968371112295922,8.195980600016519e-07,0.9748104582441613,-3.3898618409132705e-06,0.000715494143228267,0.000348583664472631,0.11089055969360027,1.0,0.0063574299057747455
8,Mutualistic09_distill_only,3,6 vs 7,0,0.0,1.0,0.0,0.005,0.07569526839367252,0.11168523709428438,0.9673440912936596,0.00033786556739753306,0.12276053032342424,-0.0012688585160736073,0.0005387393838200877,0.02283320086311544,0.4585230908891622,0.0,0.12643665558797249
